,label,gry,b,g,r,h,s,v,l,a,bl,gry_std,b_std,g_std,r_std,h_std,s_std,v_std,l_std,a_std,bl_std,gry_min,b_min,g_min,r_min,h_min,s_min,v_min,l_min,a_min,bl_min
874,1,85.17142652564391,42.922685052579894,98.35944436488616,75.44054949775986,42.646626501094495,146.03987745749882,98.3633415846648,98.54156522984391,109.27561322395205,156.33393343016715,16.757168464312663,14.07694154613769,17.132459992043177,17.961090587243614,2.628836260105552,22.613684491282495,17.146551312795612,18.000792042113453,2.0766106847456793,4.312723357048515,20.0,1.0,28.0,10.0,13.0,2.0,28.0,21.0,101.0,124.0
875,3,73.95094400118386,42.01563068423552,85.23215276664489,63.98739070920324,45.23649973486577,130.3379166615284,85.23989715258166,85.32871712027229,111.4294188011,150.32620759393768,17.31423507194393,14.381817211115136,18.37210798005442,17.968809292712294,3.321240323295496,27.23601726421067,18.401314130415702,19.056963809416224,3.1806051909071713,5.8772979369320995,28.0,2.0,30.0,17.0,14.0,39.0,35.0,28.0,98.0,134.0
876,3,63.530032632801195,43.05381385545815,71.08962188874031,56.5027597554466,45.92894523962822,103.54779632289414,71.09767828350365,71.84242704395247,116.25161375530352,143.00605330207628,14.866698553241383,14.272270781178083,15.20358787010321,15.03932854113586,3.3307325968811505,25.113680048045463,15.234042196288108,16.576595812252563,2.2214205899519683,3.3052465530884576,15.0,2.0,20.0,11.0,17.0,24.0,20.0,14.0,103.0,125.0
877,3,78.08800307644238,35.956375959909145,93.21547114032663,64.46412820112242,45.58093086416786,156.6924519005444,93.21828920961869,92.13085094877002,106.67895040438393,156.63773088339562,14.867785051322958,12.145887983434388,16.3309873457396,15.462179799567808,2.730165186055423,28.068545534087676,16.332725647439197,16.571257424958137,3.0962269095097628,6.54093482954987,31.0,1.0,38.0,16.0,15.0,31.0,38.0,37.0,94.0,133.0
878,2,96.51933983199908,32.12002830002413,114.37481301267404,86.06923325607264,40.53480293042701,184.12888837747056,114.45841895024083,113.47669302297547,104.67474890273371,167.67508863062264,17.678130906962433,16.497401002939093,18.213944140919114,20.596974704463506,3.027666822619002,30.289022172691617,18.42652179532198,18.651983846930666,4.001985644999393,7.318119232261235,7.0,1.0,11.0,3.0,20.0,5.0,11.0,7.0,95.0,123.0
879,1,77.64638571578286,31.034110662862016,91.59920614127017,68.05683425906518,41.907892840767666,170.46995172626106,91.638905627751,90.84042260532384,108.70494917208133,158.55240646614965,23.803543163026408,19.556194789955576,26.21486797553828,23.40486377554014,4.390511205947492,38.644236813327765,26.27868827747259,27.102314113515764,5.645246777560626,8.685981144573242,10.0,1.0,11.0,7.0,3.0,1.0,11.0,8.0,96.0,110.0
880,1,66.21538276001505,31.338439597553535,78.23628895525776,55.92745614097316,44.56856763831644,156.54224867518425,78.24516362449721,77.40871008704411,110.37677262827835,152.4651291473649,17.278819567359374,14.875925609374523,18.203925002346992,17.631869282683397,3.1031536273226172,30.507153042659766,18.23604933995657,19.386723586962624,2.900654779920839,4.948603516290947,21.0,1.0,28.0,12.0,19.0,19.0,28.0,21.0,100.0,129.0
881,3,51.484295386060346,29.77770123760245,59.60294290298595,43.84173286893907,46.555449457989276,135.43065784839354,59.61134896098306,58.15832974601808,115.31341916800376,143.9197980667632,21.074622730470242,16.565453974519688,22.230965174135363,21.006244481280245,3.6375836995095865,31.3070636483736,22.25122849115715,24.785819614664955,2.765978214980541,4.835100379301889,9.0,1.0,12.0,4.0,20.0,9.0,12.0,7.0,104.0,118.0
882,2,72.974192139738,37.32569107821302,84.52150218340611,63.951275109170304,43.33684716157205,145.04044541484717,84.55074235807861,84.5044192139738,111.15187772925765,152.6471790393013,18.656783946582483,16.186379247252532,19.286868637709144,19.600781368400234,2.93537845149417,26.679466892876036,19.296531395643438,20.108805510849418,2.8336420101732025,5.134835849737827,24.0,1.0,33.0,15.0,12.0,7.0,33.0,27.0,99.0,121.0
883,2,78.9629596914289,25.146823553697683,96.06808144156876,65.91775608750699,43.1427951005506,188.71391661514,96.06822866060124,94.47458263404293,104.7880340370403,162.83346583046256,16.82925209022069,11.167903614894438,18.719279186551073,17.67475535260596,2.294542962149513,25.857253050682473,18.71973282381065,18.932234571955558,3.0753718080702646,6.836032652330491,21.0,1.0,32.0,6.0,27.0,68.0,32.0,25.0,93.0,142.0
